label,force_g,force_n,adc_mean,adc_std,adc_min,adc_max,num_samples
131.0g,131.0,1.28467115,311.99,1.2123943252918994,309,318,100
309.0g,309.0,3.03025485,582.68,4.987744981452039,572,591,100
309.0g,309.0,3.03025485,553,2.4289915602982237,547,559,100
439.0g,439.0,4.30511935,729.22,7.651901724408122,717,740,100
439.0g,439.0,4.30511935,661.89,10.869125999821696,639,675,100
426.0g,426.0,4.1776329,717.16,2.212329089443973,709,723,100
974.0g,974.0,9.551677100000001,874.9,0.9539392014169457,873,878,100
1264.0g,1264.0,12.3956056,896.46,1.4793241700181878,890,899,100
1545.0g,1545.0,15.15127425,484.7,379.95953731943615,0,969,100
1545.0g,1545.0,15.15127425,894.08,1.8312837027615356,889,901,100
0.0g,0.0,0.0,208.52,2.137662274541982,197,215,100
2065.0g,2065.0,20.25073225,938.73,0.8468175718535841,938,941,100
3061.0g,3061.0,30.01815565,960.89,1.139254141971843,956,964,100
4234.0g,4234.0,41.5213561,966.87,1.083097410208334,964,972,100
3487.0g,3487.0,34.19578855,959.43,1.0700934538627922,956,963,100
