label,force_g,force_n,adc_mean,adc_std,adc_min,adc_max,num_samples
1545.0g,1545.0,15.15127425,796.78,1.3006152390311287,790,802,100
2072.0g,2072.0,20.3193788,637.6,40.4788833838089,552,720,100
2072.0g,2072.0,20.3193788,859.97,1.920702996301094,856,865,100
2072.0g,2072.0,20.3193788,863.01,2.368522746354782,858,869,100
2498.0g,2498.0,24.4970117,848.03,1.187055179846329,845,854,100
2498.0g,2498.0,24.4970117,860.57,1.2268251709188234,854,864,100
2072.0g,2072.0,20.3193788,855.32,1.9993999099729898,846,861,100
2498.0g,2498.0,24.4970117,887.31,1.0554146104730595,882,892,100
3069.0g,3069.0,30.09660885,876.21,5.333469789921004,867,883,100
3069.0g,3069.0,30.09660885,893.24,1.149956520917204,890,899,100
3495.0g,3495.0,34.27424175,857.18,0.9206519429187123,855,863,100
5555.0g,5555.0,54.47594075,863.25,5.196874060432868,852,873,100
