t_unix_ns,ok,adc_raw,force_g,force_n,error
1776766828077015539,1,8,8.0,0.0784532,
1776766828177121525,1,1,1.0,0.00980665,
1776766828277159101,1,9,9.0,0.08825985,
1776766828377107421,1,3,3.0,0.02941995,
1776766828477158985,1,14,14.0,0.1372931,
1776766828577096186,1,20,20.0,0.196133,
1776766828677147732,1,1,1.0,0.00980665,
1776766828777096969,1,16,16.0,0.1569064,
1776766828877133713,1,14,14.0,0.1372931,
1776766828977108769,1,13,13.0,0.12748645,
1776766829077143884,1,0,0.0,0.0,
1776766829177060511,1,4,4.0,0.0392266,
1776766829277062422,1,5,5.0,0.04903325,
1776766829377096195,1,1,1.0,0.00980665,
1776766829477138881,1,15,15.0,0.14709975,
1776766829577116432,1,6,6.0,0.0588399,
1776766829677144757,1,20,20.0,0.196133,
1776766829777128436,1,5,5.0,0.04903325,
1776766829877094920,1,10,10.0,0.0980665,
1776766829977145686,1,3,3.0,0.02941995,
1776766830077163587,1,3,3.0,0.02941995,
1776766830177169555,1,4,4.0,0.0392266,
1776766830277117332,1,9,9.0,0.08825985,
1776766830377115695,1,12,12.0,0.1176798,
1776766830477142899,1,17,17.0,0.16671305,
1776766830577124575,1,31,31.0,0.30400615,
1776766830677179093,1,2,2.0,0.0196133,
1776766830777125053,1,13,13.0,0.12748645,
1776766830877101705,1,4,4.0,0.0392266,
1776766830977100424,1,13,13.0,0.12748645,
1776766831077140716,1,2,2.0,0.0196133,
1776766831177110952,1,7,7.0,0.06864655,
1776766831277143299,1,20,20.0,0.196133,
1776766831377113992,1,4,4.0,0.0392266,
1776766831477093836,1,4,4.0,0.0392266,
1776766831577055379,1,9,9.0,0.08825985,
1776766831677092972,1,2,2.0,0.0196133,
1776766831777164159,1,5,5.0,0.04903325,
1776766831877087305,1,7,7.0,0.06864655,
1776766831977103441,1,4,4.0,0.0392266,
1776766832077145278,1,11,11.0,0.10787315,
1776766832177129025,1,28,28.0,0.2745862,
1776766832277129001,1,3,3.0,0.02941995,
1776766832377127075,1,3,3.0,0.02941995,
1776766832477099908,1,3,3.0,0.02941995,
1776766832577085896,1,0,0.0,0.0,
1776766832677116834,1,15,15.0,0.14709975,
1776766832777098409,1,21,21.0,0.20593965,
1776766832877111761,1,2,2.0,0.0196133,
1776766832977087836,1,3,3.0,0.02941995,
1776766833077134459,1,13,13.0,0.12748645,
1776766833177114795,1,10,10.0,0.0980665,
