seq,stamp_sec,stamp_nsec,t_unix_ns,frame_id,width,height,point_count,row_step,point_step,is_dense
0,0,0,0,rslidar_202,1,23058,23058,16,16,1
1,1773158840,901407480,1773158840901407480,rslidar_202,1,49635,49635,16,16,1
2,1773158841,1403570,1773158841001403570,rslidar_202,1,49658,49658,16,16,1
3,1773158841,101395607,1773158841101395607,rslidar_202,1,49694,49694,16,16,1
4,1773158841,201387644,1773158841201387644,rslidar_202,1,49660,49660,16,16,1
5,1773158841,301383495,1773158841301383495,rslidar_202,1,49654,49654,16,16,1
6,1773158841,401375532,1773158841401375532,rslidar_202,1,49659,49659,16,16,1
7,1773158841,501372576,1773158841501372576,rslidar_202,1,49613,49613,16,16,1
8,1773158841,601396561,1773158841601396561,rslidar_202,1,49674,49674,16,16,1
9,1773158841,701390505,1773158841701390505,rslidar_202,1,49662,49662,16,16,1
10,1773158841,801384687,1773158841801384687,rslidar_202,1,49738,49738,16,16,1
11,1773158841,901378632,1773158841901378632,rslidar_202,1,49680,49680,16,16,1
12,1773158842,1375675,1773158842001375675,rslidar_202,1,49721,49721,16,16,1
13,1773158842,101371527,1773158842101371527,rslidar_202,1,49693,49693,16,16,1
14,1773158842,201370478,1773158842201370478,rslidar_202,1,49734,49734,16,16,1
15,1773158842,301368475,1773158842301368475,rslidar_202,1,49712,49712,16,16,1
16,1773158842,401364565,1773158842401364565,rslidar_202,1,49683,49683,16,16,1
17,1773158842,501360655,1773158842501360655,rslidar_202,1,49663,49663,16,16,1
18,1773158842,601391554,1773158842601391554,rslidar_202,1,49667,49667,16,16,1
19,1773158842,701387644,1773158842701387644,rslidar_202,1,49721,49721,16,16,1
20,1773158842,801383495,1773158842801383495,rslidar_202,1,49713,49713,16,16,1
21,1773158842,901383638,1773158842901383638,rslidar_202,1,49684,49684,16,16,1
22,1773158843,1381636,1773158843001381636,rslidar_202,1,49751,49751,16,16,1
23,1773158843,101377487,1773158843101377487,rslidar_202,1,49694,49694,16,16,1
24,1773158843,201373577,1773158843201373577,rslidar_202,1,49720,49720,16,16,1
25,1773158843,301371574,1773158843301371574,rslidar_202,1,49652,49652,16,16,1
26,1773158843,401373625,1773158843401373625,rslidar_202,1,49690,49690,16,16,1
27,1773158843,501369476,1773158843501369476,rslidar_202,1,49684,49684,16,16,1
28,1773158843,601398468,1773158843601398468,rslidar_202,1,49725,49725,16,16,1
29,1773158843,701396465,1773158843701396465,rslidar_202,1,49658,49658,16,16,1
30,1773158843,801392555,1773158843801392555,rslidar_202,1,49638,49638,16,16,1
31,1773158843,901386499,1773158843901386499,rslidar_202,1,49642,49642,16,16,1
32,1773158844,1382589,1773158844001382589,rslidar_202,1,49679,49679,16,16,1
33,1773158844,101382494,1773158844101382494,rslidar_202,1,49649,49649,16,16,1
34,1773158844,201376677,1773158844201376677,rslidar_202,1,49640,49640,16,16,1
35,1773158844,301372528,1773158844301372528,rslidar_202,1,49700,49700,16,16,1
36,1773158844,401370525,1773158844401370525,rslidar_202,1,49684,49684,16,16,1
37,1773158844,501370668,1773158844501370668,rslidar_202,1,49649,49649,16,16,1
38,1773158844,601396561,1773158844601396561,rslidar_202,1,49685,49685,16,16,1
39,1773158844,701394558,1773158844701394558,rslidar_202,1,49719,49719,16,16,1
40,1773158844,801390648,1773158844801390648,rslidar_202,1,49712,49712,16,16,1
41,1773158844,901388645,1773158844901388645,rslidar_202,1,49713,49713,16,16,1
42,1773158845,1382589,1773158845001382589,rslidar_202,1,49630,49630,16,16,1
43,1773158845,101378679,1773158845101378679,rslidar_202,1,49705,49705,16,16,1
44,1773158845,201376677,1773158845201376677,rslidar_202,1,49751,49751,16,16,1
45,1773158845,301376581,1773158845301376581,rslidar_202,1,49690,49690,16,16,1
46,1773158845,401368618,1773158845401368618,rslidar_202,1,49761,49761,16,16,1
47,1773158845,501366615,1773158845501366615,rslidar_202,1,49745,49745,16,16,1
48,1773158845,601398468,1773158845601398468,rslidar_202,1,49709,49709,16,16,1
49,1773158845,701392651,1773158845701392651,rslidar_202,1,49742,49742,16,16,1
50,1773158845,801388502,1773158845801388502,rslidar_202,1,49758,49758,16,16,1
51,1773158845,901386499,1773158845901386499,rslidar_202,1,49692,49692,16,16,1
52,1773158846,1382589,1773158846001382589,rslidar_202,1,49721,49721,16,16,1
53,1773158846,101378679,1773158846101378679,rslidar_202,1,49719,49719,16,16,1
54,1773158846,201374531,1773158846201374531,rslidar_202,1,49716,49716,16,16,1
55,1773158846,301372528,1773158846301372528,rslidar_202,1,49697,49697,16,16,1
56,1773158846,401368618,1773158846401368618,rslidar_202,1,49740,49740,16,16,1
57,1773158846,501364470,1773158846501364470,rslidar_202,1,49702,49702,16,16,1
58,1773158846,601393461,1773158846601393461,rslidar_202,1,49675,49675,16,16,1
59,1773158846,701393604,1773158846701393604,rslidar_202,1,49749,49749,16,16,1
60,1773158846,801390648,1773158846801390648,rslidar_202,1,49698,49698,16,16,1
61,1773158846,901385546,1773158846901385546,rslidar_202,1,49675,49675,16,16,1
62,1773158847,1383543,1773158847001383543,rslidar_202,1,49715,49715,16,16,1
63,1773158847,101381540,1773158847101381540,rslidar_202,1,49704,49704,16,16,1
64,1773158847,201375484,1773158847201375484,rslidar_202,1,49710,49710,16,16,1
65,1773158847,301372528,1773158847301372528,rslidar_202,1,49734,49734,16,16,1
66,1773158847,401370525,1773158847401370525,rslidar_202,1,49653,49653,16,16,1
67,1773158847,501368523,1773158847501368523,rslidar_202,1,49654,49654,16,16,1
68,1773158847,601391554,1773158847601391554,rslidar_202,1,49664,49664,16,16,1
69,1773158847,701391459,1773158847701391459,rslidar_202,1,49708,49708,16,16,1
70,1773158847,801387548,1773158847801387548,rslidar_202,1,49709,49709,16,16,1
71,1773158847,901385546,1773158847901385546,rslidar_202,1,49697,49697,16,16,1
72,1773158848,1377583,1773158848001377583,rslidar_202,1,49703,49703,16,16,1
73,1773158848,101377487,1773158848101377487,rslidar_202,1,49747,49747,16,16,1
74,1773158848,201376677,1773158848201376677,rslidar_202,1,49757,49757,16,16,1
75,1773158848,301373482,1773158848301373482,rslidar_202,1,49739,49739,16,16,1
76,1773158848,401373625,1773158848401373625,rslidar_202,1,49723,49723,16,16,1
77,1773158848,501371622,1773158848501371622,rslidar_202,1,49721,49721,16,16,1
78,1773158848,601399660,1773158848601399660,rslidar_202,1,49747,49747,16,16,1
79,1773158848,701395512,1773158848701395512,rslidar_202,1,49678,49678,16,16,1
80,1773158848,801395655,1773158848801395655,rslidar_202,1,49738,49738,16,16,1
81,1773158848,901389599,1773158848901389599,rslidar_202,1,49686,49686,16,16,1
82,1773158849,1387596,1773158849001387596,rslidar_202,1,49711,49711,16,16,1
83,1773158849,101383686,1773158849101383686,rslidar_202,1,49677,49677,16,16,1
84,1773158849,201381683,1773158849201381683,rslidar_202,1,49773,49773,16,16,1
85,1773158849,301377535,1773158849301377535,rslidar_202,1,49754,49754,16,16,1
86,1773158849,401375532,1773158849401375532,rslidar_202,1,49733,49733,16,16,1
87,1773158849,501373529,1773158849501373529,rslidar_202,1,49691,49691,16,16,1
88,1773158849,601402521,1773158849601402521,rslidar_202,1,49656,49656,16,16,1
89,1773158849,701400518,1773158849701400518,rslidar_202,1,49695,49695,16,16,1
90,1773158849,801400661,1773158849801400661,rslidar_202,1,49695,49695,16,16,1
91,1773158849,901392460,1773158849901392460,rslidar_202,1,49704,49704,16,16,1
92,1773158850,1392603,1773158850001392603,rslidar_202,1,49739,49739,16,16,1
93,1773158850,101388693,1773158850101388693,rslidar_202,1,49684,49684,16,16,1
94,1773158850,201382637,1773158850201382637,rslidar_202,1,49700,49700,16,16,1
95,1773158850,301378489,1773158850301378489,rslidar_202,1,49774,49774,16,16,1
96,1773158850,401376486,1773158850401376486,rslidar_202,1,49751,49751,16,16,1
97,1773158850,501372576,1773158850501372576,rslidar_202,1,49748,49748,16,16,1
98,1773158850,601402521,1773158850601402521,rslidar_202,1,49741,49741,16,16,1
99,1773158850,701398611,1773158850701398611,rslidar_202,1,49753,49753,16,16,1
100,1773158850,801396608,1773158850801396608,rslidar_202,1,49738,49738,16,16,1
101,1773158850,901394606,1773158850901394606,rslidar_202,1,49763,49763,16,16,1
102,1773158851,1386642,1773158851001386642,rslidar_202,1,49738,49738,16,16,1
103,1773158851,101388693,1773158851101388693,rslidar_202,1,49767,49767,16,16,1
104,1773158851,201382637,1773158851201382637,rslidar_202,1,49780,49780,16,16,1
105,1773158851,301380634,1773158851301380634,rslidar_202,1,49737,49737,16,16,1
106,1773158851,401374578,1773158851401374578,rslidar_202,1,49718,49718,16,16,1
107,1773158851,501368523,1773158851501368523,rslidar_202,1,49702,49702,16,16,1
108,1773158851,601396561,1773158851601396561,rslidar_202,1,49717,49717,16,16,1
109,1773158851,701394558,1773158851701394558,rslidar_202,1,49691,49691,16,16,1
110,1773158851,801390648,1773158851801390648,rslidar_202,1,49719,49719,16,16,1
111,1773158851,901386499,1773158851901386499,rslidar_202,1,49696,49696,16,16,1
112,1773158852,1384497,1773158852001384497,rslidar_202,1,49706,49706,16,16,1
113,1773158852,101382494,1773158852101382494,rslidar_202,1,49729,49729,16,16,1
114,1773158852,201378584,1773158852201378584,rslidar_202,1,49677,49677,16,16,1
115,1773158852,301374674,1773158852301374674,rslidar_202,1,49691,49691,16,16,1
116,1773158852,401370525,1773158852401370525,rslidar_202,1,49672,49672,16,16,1
117,1773158852,501369476,1773158852501369476,rslidar_202,1,49782,49782,16,16,1
118,1773158852,601403475,1773158852601403475,rslidar_202,1,49720,49720,16,16,1
119,1773158852,701399565,1773158852701399565,rslidar_202,1,49754,49754,16,16,1
120,1773158852,801403522,1773158852801403522,rslidar_202,1,49745,49745,16,16,1
121,1773158852,901393652,1773158852901393652,rslidar_202,1,49745,49745,16,16,1
122,1773158853,1387596,1773158853001387596,rslidar_202,1,49763,49763,16,16,1
123,1773158853,101385593,1773158853101385593,rslidar_202,1,49711,49711,16,16,1
124,1773158853,201381683,1773158853201381683,rslidar_202,1,49720,49720,16,16,1
125,1773158853,301379681,1773158853301379681,rslidar_202,1,49763,49763,16,16,1
126,1773158853,401373625,1773158853401373625,rslidar_202,1,49718,49718,16,16,1
127,1773158853,501371622,1773158853501371622,rslidar_202,1,49714,49714,16,16,1
128,1773158853,601397514,1773158853601397514,rslidar_202,1,49764,49764,16,16,1
129,1773158853,701394558,1773158853701394558,rslidar_202,1,49711,49711,16,16,1
130,1773158853,801389456,1773158853801389456,rslidar_202,1,49710,49710,16,16,1
131,1773158853,901387691,1773158853901387691,rslidar_202,1,49709,49709,16,16,1
132,1773158854,1384497,1773158854001384497,rslidar_202,1,49744,49744,16,16,1
133,1773158854,101380587,1773158854101380587,rslidar_202,1,49730,49730,16,16,1
134,1773158854,201377630,1773158854201377630,rslidar_202,1,49745,49745,16,16,1
135,1773158854,301373482,1773158854301373482,rslidar_202,1,49751,49751,16,16,1
136,1773158854,401373625,1773158854401373625,rslidar_202,1,49707,49707,16,16,1
137,1773158854,501367569,1773158854501367569,rslidar_202,1,49715,49715,16,16,1
138,1773158854,601396561,1773158854601396561,rslidar_202,1,49730,49730,16,16,1
139,1773158854,701395512,1773158854701395512,rslidar_202,1,49805,49805,16,16,1
140,1773158854,801390648,1773158854801390648,rslidar_202,1,49751,49751,16,16,1
141,1773158854,901387691,1773158854901387691,rslidar_202,1,49810,49810,16,16,1
142,1773158855,1383543,1773158855001383543,rslidar_202,1,49713,49713,16,16,1
143,1773158855,101380587,1773158855101380587,rslidar_202,1,49697,49697,16,16,1
144,1773158855,201377630,1773158855201377630,rslidar_202,1,49779,49779,16,16,1
145,1773158855,301372528,1773158855301372528,rslidar_202,1,49779,49779,16,16,1
146,1773158855,401371479,1773158855401371479,rslidar_202,1,49777,49777,16,16,1
147,1773158855,501369476,1773158855501369476,rslidar_202,1,49749,49749,16,16,1
148,1773158855,601398468,1773158855601398468,rslidar_202,1,49687,49687,16,16,1
149,1773158855,701392651,1773158855701392651,rslidar_202,1,49731,49731,16,16,1
150,1773158855,801392555,1773158855801392555,rslidar_202,1,49722,49722,16,16,1
151,1773158855,901388645,1773158855901388645,rslidar_202,1,49745,49745,16,16,1
152,1773158856,1384497,1773158856001384497,rslidar_202,1,49758,49758,16,16,1
153,1773158856,101382494,1773158856101382494,rslidar_202,1,49756,49756,16,16,1
