t_unix_ns,t_unix_s,device_id,page,page_hex,page_name,cadence_rpm,p10_update_event_count,p10_pedal_power_percent,p10_pedal_power_is_right,p10_accumulated_power_w,p10_instantaneous_power_w,p12_update_event_count,p12_crank_ticks,p12_crank_period_1_2048s,p12_accumulated_torque_1_32nm
1773158618460041017,1773158618.460041,64434,18,0x12,standard_torque,0.0,nan,nan,nan,nan,nan,253.0,253.0,355.0,11456.0
1773158618959470806,1773158618.9594707,64434,16,0x10,standard_power,0.0,253.0,127.0,1.0,13420.0,0.0,nan,nan,nan,nan
1773159101111749838,1773159101.11175,64434,18,0x12,standard_torque,37.0,nan,nan,nan,nan,nan,254.0,254.0,53393.0,11456.0
1773159101361122256,1773159101.3611224,64434,16,0x10,standard_power,37.0,254.0,127.0,1.0,13420.0,0.0,nan,nan,nan,nan
1773159105355902083,1773159105.3559022,64434,18,0x12,standard_torque,0.0,nan,nan,nan,nan,nan,255.0,255.0,61952.0,11964.0
1773159105605754411,1773159105.6057544,64434,16,0x10,standard_power,0.0,255.0,127.0,1.0,13420.0,0.0,nan,nan,nan,nan
1773159106604166124,1773159106.604166,64434,18,0x12,standard_torque,42.0,nan,nan,nan,nan,nan,0.0,0.0,64895.0,11964.0
1773159107353234024,1773159107.3532338,64434,16,0x10,standard_power,42.0,0.0,127.0,1.0,13420.0,0.0,nan,nan,nan,nan
1773159108102544126,1773159108.102544,64434,18,0x12,standard_torque,42.0,nan,nan,nan,nan,nan,1.0,1.0,2286.0,11964.0
1773159109350572845,1773159109.3505728,64434,16,0x10,standard_power,48.0,2.0,127.0,1.0,13420.0,0.0,nan,nan,nan,nan
1773159109849889416,1773159109.8498895,64434,18,0x12,standard_torque,48.0,nan,nan,nan,nan,nan,2.0,2.0,4846.0,11964.0
1773159110599040670,1773159110.5990407,64434,16,0x10,standard_power,49.0,3.0,127.0,1.0,13420.0,0.0,nan,nan,nan,nan
1773159111597657666,1773159111.5976577,64434,18,0x12,standard_torque,54.0,nan,nan,nan,nan,nan,4.0,4.0,9618.0,11964.0
1773159111847661812,1773159111.8476617,64434,16,0x10,standard_power,54.0,4.0,127.0,1.0,13420.0,0.0,nan,nan,nan,nan
1773159112846343730,1773159112.8463438,64434,18,0x12,standard_torque,55.0,nan,nan,nan,nan,nan,5.0,5.0,11864.0,11964.0
1773159113095737342,1773159113.0957375,64434,16,0x10,standard_power,55.0,5.0,127.0,1.0,13420.0,0.0,nan,nan,nan,nan
1773159113844231718,1773159113.8442316,64434,16,0x10,standard_power,56.0,6.0,127.0,1.0,13420.0,0.0,nan,nan,nan,nan
1773159114594137638,1773159114.5941377,64434,18,0x12,standard_torque,56.0,nan,nan,nan,nan,nan,6.0,6.0,14049.0,11964.0
1773159115092884092,1773159115.092884,64434,16,0x10,standard_power,56.0,7.0,127.0,1.0,13420.0,0.0,nan,nan,nan,nan
1773159115842807608,1773159115.8428075,64434,18,0x12,standard_torque,56.0,nan,nan,nan,nan,nan,7.0,7.0,16252.0,11964.0
1773159116841118444,1773159116.8411186,64434,16,0x10,standard_power,36.0,8.0,127.0,1.0,13420.0,0.0,nan,nan,nan,nan
1773159117090731955,1773159117.090732,64434,18,0x12,standard_torque,36.0,nan,nan,nan,nan,nan,8.0,8.0,19655.0,11964.0
1773159117590232279,1773159117.5902324,64434,18,0x12,standard_torque,58.0,nan,nan,nan,nan,nan,9.0,9.0,21789.0,12948.0
1773159118588172683,1773159118.588173,64434,16,0x10,standard_power,63.0,10.0,127.0,1.0,13797.0,192.0,nan,nan,nan,nan
1773159118838205858,1773159118.838206,64434,18,0x12,standard_torque,63.0,nan,nan,nan,nan,nan,10.0,10.0,23746.0,13880.0
1773159120585775534,1773159120.5857756,64434,16,0x10,standard_power,36.0,11.0,127.0,1.0,13851.0,54.0,nan,nan,nan,nan
1773159120835581960,1773159120.835582,64434,18,0x12,standard_torque,36.0,nan,nan,nan,nan,nan,11.0,11.0,27142.0,14332.0
1773159121334997499,1773159121.3349974,64434,16,0x10,standard_power,61.0,12.0,127.0,1.0,13975.0,124.0,nan,nan,nan,nan
1773159121584613537,1773159121.5846136,64434,18,0x12,standard_torque,61.0,nan,nan,nan,nan,nan,12.0,12.0,29162.0,14956.0
1773159126578031312,1773159126.5780313,64434,16,0x10,standard_power,0.0,13.0,127.0,1.0,13975.0,0.0,nan,nan,nan,nan
1773159126828007477,1773159126.8280075,64434,18,0x12,standard_torque,0.0,nan,nan,nan,nan,nan,13.0,13.0,39840.0,15212.0
1773159127576428218,1773159127.5764282,64434,18,0x12,standard_torque,55.0,nan,nan,nan,nan,nan,14.0,14.0,42088.0,16796.0
1773159127826287970,1773159127.826288,64434,16,0x10,standard_power,55.0,14.0,127.0,1.0,14258.0,283.0,nan,nan,nan,nan
1773159128575550440,1773159128.5755506,64434,18,0x12,standard_torque,57.0,nan,nan,nan,nan,nan,15.0,15.0,44257.0,17852.0
1773159129574444637,1773159129.5744445,64434,16,0x10,standard_power,57.0,16.0,127.0,1.0,14626.0,172.0,nan,nan,nan,nan
1773159129824069506,1773159129.8240697,64434,18,0x12,standard_torque,57.0,nan,nan,nan,nan,nan,16.0,16.0,46409.0,18772.0
1773159130822983552,1773159130.8229837,64434,18,0x12,standard_torque,57.0,nan,nan,nan,nan,nan,17.0,17.0,48553.0,19576.0
1773159131571923390,1773159131.5719235,64434,16,0x10,standard_power,61.0,18.0,127.0,1.0,14925.0,148.0,nan,nan,nan,nan
1773159132071074237,1773159132.0710742,64434,18,0x12,standard_torque,61.0,nan,nan,nan,nan,nan,18.0,18.0,50584.0,20324.0
1773159133568885096,1773159133.568885,64434,16,0x10,standard_power,32.0,19.0,127.0,1.0,14969.0,44.0,nan,nan,nan,nan
1773159133818804901,1773159133.818805,64434,18,0x12,standard_torque,32.0,nan,nan,nan,nan,nan,19.0,19.0,54381.0,20736.0
1773159134567681730,1773159134.5676818,64434,18,0x12,standard_torque,54.0,nan,nan,nan,nan,nan,20.0,20.0,56646.0,21528.0
1773159134817566762,1773159134.8175666,64434,16,0x10,standard_power,54.0,20.0,127.0,1.0,15110.0,141.0,nan,nan,nan,nan
1773159135816152440,1773159135.8161523,64434,18,0x12,standard_torque,54.0,nan,nan,nan,nan,nan,21.0,21.0,58919.0,22248.0
1773159136065975327,1773159136.0659752,64434,16,0x10,standard_power,54.0,21.0,127.0,1.0,15237.0,127.0,nan,nan,nan,nan
1773159137313857722,1773159137.3138578,64434,16,0x10,standard_power,54.0,22.0,127.0,1.0,15399.0,162.0,nan,nan,nan,nan
1773159137813010303,1773159137.8130102,64434,16,0x10,standard_power,59.0,23.0,127.0,1.0,15535.0,136.0,nan,nan,nan,nan
1773159138062916056,1773159138.062916,64434,18,0x12,standard_torque,59.0,nan,nan,nan,nan,nan,23.0,23.0,63285.0,23868.0
1773159142058410193,1773159142.0584102,64434,18,0x12,standard_torque,0.0,nan,nan,nan,nan,nan,24.0,24.0,6368.0,23868.0
1773159142307294156,1773159142.3072941,64434,16,0x10,standard_power,0.0,24.0,127.0,1.0,15535.0,0.0,nan,nan,nan,nan
1773159145303865897,1773159145.303866,64434,16,0x10,standard_power,0.0,25.0,127.0,1.0,15535.0,0.0,nan,nan,nan,nan
1773159145553312748,1773159145.5533128,64434,18,0x12,standard_torque,0.0,nan,nan,nan,nan,nan,25.0,25.0,12392.0,25128.0
1773159149048903853,1773159149.048904,64434,16,0x10,standard_power,0.0,26.0,127.0,1.0,15535.0,0.0,nan,nan,nan,nan
1773159149548542355,1773159149.5485425,64434,18,0x12,standard_torque,0.0,nan,nan,nan,nan,nan,26.0,26.0,20768.0,25128.0
1773159150297140283,1773159150.2971401,64434,16,0x10,standard_power,53.0,27.0,127.0,1.0,15693.0,158.0,nan,nan,nan,nan
1773159150547038824,1773159150.5470388,64434,18,0x12,standard_torque,53.0,nan,nan,nan,nan,nan,27.0,27.0,23069.0,26032.0
1773159151296146475,1773159151.2961464,64434,18,0x12,standard_torque,52.0,nan,nan,nan,nan,nan,28.0,28.0,25420.0,26704.0
1773159151545836565,1773159151.5458364,64434,16,0x10,standard_power,52.0,28.0,127.0,1.0,15808.0,115.0,nan,nan,nan,nan
