t_unix_ns,t_unix_s,device_id,page,page_hex,page_name,speed_mps,distance_m,wheel_circumference_m
1773158618573139436,1773158618.5731394,18412,133,0x85,bike_speed,121.66246617779669,620.72148,2.20114
1773158619316029019,1773158619.3160288,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158619563768634,1773158619.5637686,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158619811528028,1773158619.811528,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158620306955689,1773158620.3069558,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158620554765379,1773158620.5547652,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158620802487637,1773158620.8024876,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158621050131944,1773158621.050132,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158621297853718,1773158621.2978537,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158621545859028,1773158621.545859,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158621793641195,1773158621.7936413,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158622041080583,1773158622.0410805,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158622536856444,1773158622.5368564,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158622784559455,1773158622.7845592,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158623279667428,1773158623.2796674,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158623527474334,1773158623.5274744,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158623775228792,1773158623.7752287,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158624022890366,1773158624.0228903,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158624270579745,1773158624.2705798,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158624518271792,1773158624.5182717,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158625013828984,1773158625.0138288,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158625261664096,1773158625.261664,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158625509109498,1773158625.5091095,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158626004825204,1773158626.004825,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158626252664836,1773158626.2526648,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158626747680337,1773158626.7476802,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158627243404405,1773158627.2434044,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158627490926002,1773158627.490926,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158627738824602,1773158627.7388246,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158628234134526,1773158628.2341344,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158628481860915,1773158628.4818609,18412,130,0x82,bike_speed,nan,620.72148,2.20114
1773158628729644049,1773158628.729644,18412,130,0x82,bike_speed,nan,620.72148,2.20114
1773158628977200651,1773158628.9772007,18412,130,0x82,bike_speed,nan,620.72148,2.20114
1773158629224907370,1773158629.2249072,18412,130,0x82,bike_speed,nan,620.72148,2.20114
