t_unix_ns,ok,adc_raw,angle_deg,angle_deg_clamped,error
1.77315861683049E+018,1,901,90,90,
1.77315861693071E+018,1,901,90,90,
1.7731586170307E+018,1,902,90,90,
1.7731586171307E+018,1,902,90,90,
1.77315861723067E+018,1,903,90,90,
1.77315861733071E+018,1,902,90,90,
1.77315861743068E+018,1,903,90,90,
1.77315861753074E+018,1,902,90,90,
1.77315861763071E+018,1,903,90,90,
1.77315861773072E+018,1,902,90,90,
1.77315861783074E+018,1,904,90,90,
1.77315861793071E+018,1,902,90,90,
1.77315861803071E+018,1,903,90,90,
1.77315861813071E+018,1,901,90,90,
1.7731586182307E+018,1,902,90,90,
1.77315861833071E+018,1,902,90,90,
1.77315861843073E+018,1,902,90,90,
1.77315861853072E+018,1,902,90,90,
1.77315861863072E+018,1,901,90,90,
1.77315861873072E+018,1,903,90,90,
1.7731586188307E+018,1,903,90,90,
1.77315861893072E+018,1,903,90,90,
1.77315861903073E+018,1,902,90,90,
1.7731586191307E+018,1,899,90,90,
1.7731586192307E+018,1,901,90,90,
1.7731586193307E+018,1,900,90,90,
1.77315861943071E+018,1,899,90,90,
1.77315861953071E+018,1,903,90,90,
1.77315861963069E+018,1,902,90,90,
1.7731586197307E+018,1,902,90,90,
1.77315861983072E+018,1,903,90,90,
1.77315861993072E+018,1,902,90,90,
1.77315862003073E+018,1,903,90,90,
1.77315862013072E+018,1,903,90,90,
1.77315862023071E+018,1,901,90,90,
1.7731586203307E+018,1,903,90,90,
1.77315862043071E+018,1,902,90,90,
1.7731586205307E+018,1,903,90,90,
1.77315862063071E+018,1,903,90,90,
1.77315862073073E+018,1,902,90,90,
1.77315862083071E+018,1,898,90,90,
1.77315862093071E+018,1,902,90,90,
1.77315862103071E+018,1,902,90,90,
1.77315862113078E+018,1,902,90,90,
1.7731586212307E+018,1,903,90,90,
1.77315862133074E+018,1,902,90,90,
1.77315862143073E+018,1,901,90,90,
1.7731586215307E+018,1,903,90,90,
1.77315862163072E+018,1,903,90,90,
1.7731586217307E+018,1,902,90,90,
1.7731586218307E+018,1,902,90,90,
1.77315862193071E+018,1,902,90,90,
1.77315862203069E+018,1,903,90,90,
1.77315862213072E+018,1,903,90,90,
1.77315862223073E+018,1,902,90,90,
1.7731586223307E+018,1,900,90,90,
1.7731586224307E+018,1,902,90,90,
1.7731586225307E+018,1,903,90,90,
1.77315862263069E+018,1,902,90,90,
1.7731586227307E+018,1,903,90,90,
1.7731586228307E+018,1,901,90,90,
1.7731586229307E+018,1,902,90,90,
1.7731586230307E+018,1,902,90,90,
1.7731586231307E+018,1,902,90,90,
1.7731586232307E+018,1,901,90,90,
1.7731586233307E+018,1,902,90,90,
1.77315862343071E+018,1,903,90,90,
1.77315862353073E+018,1,900,90,90,
1.77315862363074E+018,1,905,90,90,
1.77315862373072E+018,1,903,90,90,
1.7731586238307E+018,1,902,90,90,
1.77315862393071E+018,1,901,90,90,
1.7731586240307E+018,1,903,90,90,
1.77315862413069E+018,1,902,90,90,
1.7731586242307E+018,1,902,90,90,
1.77315862433074E+018,1,902,90,90,
1.77315862443071E+018,1,903,90,90,
1.77315862453071E+018,1,902,90,90,
1.77315862463071E+018,1,902,90,90,
1.77315862473071E+018,1,903,90,90,
1.77315862483069E+018,1,903,90,90,
1.77315862493072E+018,1,902,90,90,
1.77315862503071E+018,1,902,90,90,
1.77315862513069E+018,1,902,90,90,
1.77315862523069E+018,1,903,90,90,
1.77315862533072E+018,1,902,90,90,
1.77315862543068E+018,1,901,90,90,
1.77315862553071E+018,1,902,90,90,
1.77315862563072E+018,1,902,90,90,
1.77315862573069E+018,1,902,90,90,
1.77315862583071E+018,1,902,90,90,
1.77315862593069E+018,1,903,90,90,
1.77315862603072E+018,1,903,90,90,
1.77315862613071E+018,1,903,90,90,
1.7731586262307E+018,1,903,90,90,
1.77315862633072E+018,1,902,90,90,
1.77315862643071E+018,1,902,90,90,
1.77315862653071E+018,1,903,90,90,
1.77315862663069E+018,1,902,90,90,
1.77315862673073E+018,1,902,90,90,
1.77315862683071E+018,1,901,90,90,
1.7731586269307E+018,1,902,90,90,
1.7731586270307E+018,1,902,90,90,
1.77315862713073E+018,1,903,90,90,
1.77315862723071E+018,1,903,90,90,
1.77315862733071E+018,1,901,90,90,
1.7731586274307E+018,1,903,90,90,
1.77315862753071E+018,1,902,90,90,
1.77315862763069E+018,1,902,90,90,
1.77315862773071E+018,1,900,90,90,
1.77315862783072E+018,1,902,90,90,
1.77315862793073E+018,1,902,90,90,
1.77315862803071E+018,1,902,90,90,
1.7731586281307E+018,1,902,90,90,
1.7731586282307E+018,1,902,90,90,
1.77315862833074E+018,1,902,90,90,
1.77315862843074E+018,1,903,90,90,
1.7731586285307E+018,1,902,90,90,
1.77315862863071E+018,1,902,90,90,
1.77315862873073E+018,1,902,90,90,
1.77315862883072E+018,1,902,90,90,
1.7731586289307E+018,1,903,90,90,
1.77315862903072E+018,1,903,90,90,
1.77315862913072E+018,1,903,90,90,
1.77315862923071E+018,1,903,90,90,
1.7731586293307E+018,1,903,90,90,
1.77315862943072E+018,1,903,90,90,
1.77315862953069E+018,1,902,90,90,
1.77315862963069E+018,1,902,90,90,
1.77315862973068E+018,1,903,90,90,
1.7731586298307E+018,1,902,90,90,
1.77315862993072E+018,1,903,90,90,
1.77315863003072E+018,1,902,90,90,
1.77315863013071E+018,1,902,90,90,
1.77315863023069E+018,1,903,90,90,
1.77315863033071E+018,1,901,90,90,
1.77315863043077E+018,1,902,90,90,
1.77315863053071E+018,1,902,90,90,
1.7731586306307E+018,1,902,90,90,
1.77315863073071E+018,1,903,90,90,
1.7731586308307E+018,1,902,90,90,
1.7731586309307E+018,1,902,90,90,
1.77315863103072E+018,1,901,90,90,
1.7731586311307E+018,1,902,90,90,
1.7731586312307E+018,1,902,90,90,
1.7731586313307E+018,1,901,90,90,
1.7731586314307E+018,1,902,90,90,
1.77315863153071E+018,1,900,90,90,
1.7731586316307E+018,1,902,90,90,
1.77315863173073E+018,1,902,90,90,
1.77315863183071E+018,1,902,90,90,
1.77315863193071E+018,1,902,90,90,
1.7731586320307E+018,1,902,90,90,
1.77315863213069E+018,1,901,90,90,
1.77315863223071E+018,1,902,90,90,
1.77315863233069E+018,1,902,90,90,
1.7731586324307E+018,1,905,90,90,
1.77315863253071E+018,1,902,90,90,
1.77315863263069E+018,1,903,90,90,
1.77315863273069E+018,1,901,90,90,
1.77315863283073E+018,1,902,90,90,
1.7731586329307E+018,1,902,90,90,
1.77315863303073E+018,1,902,90,90,
1.77315863313069E+018,1,903,90,90,
1.77315863323072E+018,1,903,90,90,
1.77315863333071E+018,1,903,90,90,
1.77315863343069E+018,1,899,90,90,
1.77315863353069E+018,1,902,90,90,
1.77315863363069E+018,1,902,90,90,
1.7731586337307E+018,1,900,90,90,
1.77315863383072E+018,1,903,90,90,
1.7731586339307E+018,1,902,90,90,
1.77315863403072E+018,1,902,90,90,
1.7731586341307E+018,1,900,90,90,
1.7731586342306E+018,1,902,90,90,
1.7731586343307E+018,1,903,90,90,
1.77315863443073E+018,1,903,90,90,
1.77315863453074E+018,1,902,90,90,
1.77315863463069E+018,1,904,90,90,
1.7731586347307E+018,1,903,90,90,
1.77315863483072E+018,1,901,90,90,
1.77315863493071E+018,1,903,90,90,
1.77315863503073E+018,1,907,90,90,
1.77315863513069E+018,1,902,90,90,
1.7731586352307E+018,1,902,90,90,
1.77315863533071E+018,1,902,90,90,
1.77315863543068E+018,1,902,90,90,
1.77315863553068E+018,1,902,90,90,
1.77315863563069E+018,1,902,90,90,
1.77315863573072E+018,1,902,90,90,
1.77315863583071E+018,1,901,90,90,
1.7731586359307E+018,1,902,90,90,
1.7731586360307E+018,1,902,90,90,
1.77315863613068E+018,1,901,90,90,
1.77315863623073E+018,1,902,90,90,
1.77315863633077E+018,1,904,90,90,
1.77315863643069E+018,1,902,90,90,
1.77315863653069E+018,1,903,90,90,
1.77315863663073E+018,1,903,90,90,
1.77315863673071E+018,1,902,90,90,
1.7731586368307E+018,1,902,90,90,
1.7731586369307E+018,1,903,90,90,
1.77315863703074E+018,1,903,90,90,
1.77315863713068E+018,1,902,90,90,
1.77315863723069E+018,1,902,90,90,
1.77315863733071E+018,1,902,90,90,
1.77315863743071E+018,1,902,90,90,
1.77315863753069E+018,1,902,90,90,
1.77315863763069E+018,1,903,90,90,
1.7731586377307E+018,1,904,90,90,
1.7731586378307E+018,1,903,90,90,
1.7731586379307E+018,1,903,90,90,
1.77315863803071E+018,1,904,90,90,
1.7731586381307E+018,1,902,90,90,
1.7731586382307E+018,1,902,90,90,
1.77315863833069E+018,1,902,90,90,
1.7731586384307E+018,1,903,90,90,
1.77315863853071E+018,1,903,90,90,
1.77315863863069E+018,1,903,90,90,
1.7731586387307E+018,1,902,90,90,
1.77315863883071E+018,1,902,90,90,
1.7731586389307E+018,1,902,90,90,
1.77315863903072E+018,1,902,90,90,
1.77315863913068E+018,1,902,90,90,
1.7731586392307E+018,1,902,90,90,
1.77315863933071E+018,1,901,90,90,
1.77315863943071E+018,1,903,90,90,
1.77315863953069E+018,1,902,90,90,
1.77315863963073E+018,1,904,90,90,
1.77315863973071E+018,1,903,90,90,
1.77315863983069E+018,1,902,90,90,
1.77315863993068E+018,1,903,90,90,
1.7731586400307E+018,1,903,90,90,
1.7731586401307E+018,1,902,90,90,
1.7731586402307E+018,1,902,90,90,
1.77315864033067E+018,1,902,90,90,
1.77315864043069E+018,1,901,90,90,
1.77315864053071E+018,1,902,90,90,
1.77315864063072E+018,1,903,90,90,
1.77315864073068E+018,1,903,90,90,
1.7731586408307E+018,1,903,90,90,
1.77315864093067E+018,1,902,90,90,
1.77315864103068E+018,1,901,90,90,
1.77315864113068E+018,1,903,90,90,
1.77315864123068E+018,1,902,90,90,
1.77315864133068E+018,1,902,90,90,
1.7731586414307E+018,1,902,90,90,
1.77315864153071E+018,1,902,90,90,
1.7731586416307E+018,1,903,90,90,
1.77315864173069E+018,1,901,90,90,
1.7731586418307E+018,1,902,90,90,
1.77315864193069E+018,1,903,90,90,
1.7731586420307E+018,1,903,90,90,
1.77315864213078E+018,1,903,90,90,
1.7731586422307E+018,1,903,90,90,
1.7731586423307E+018,1,901,90,90,
1.77315864243073E+018,1,902,90,90,
1.77315864253068E+018,1,903,90,90,
1.7731586426307E+018,1,901,90,90,
1.77315864273073E+018,1,901,90,90,
1.77315864283069E+018,1,904,90,90,
1.7731586429307E+018,1,902,90,90,
1.77315864303069E+018,1,901,90,90,
1.77315864313068E+018,1,904,90,90,
1.7731586432307E+018,1,902,90,90,
1.77315864333068E+018,1,902,90,90,
1.77315864343068E+018,1,902,90,90,
1.77315864353072E+018,1,903,90,90,
1.77315864363069E+018,1,903,90,90,
1.77315864373067E+018,1,904,90,90,
1.77315864383068E+018,1,902,90,90,
1.77315864393071E+018,1,903,90,90,
1.77315864403071E+018,1,903,90,90,
1.77315864413069E+018,1,902,90,90,
1.7731586442307E+018,1,902,90,90,
1.77315864433067E+018,1,902,90,90,
1.77315864443072E+018,1,902,90,90,
1.77315864453072E+018,1,902,90,90,
1.77315864463069E+018,1,903,90,90,
1.77315864473069E+018,1,902,90,90,
1.77315864483069E+018,1,902,90,90,
1.77315864493073E+018,1,901,90,90,
1.77315864503072E+018,1,903,90,90,
1.77315864513068E+018,1,902,90,90,
1.77315864523069E+018,1,902,90,90,
1.77315864533072E+018,1,902,90,90,
1.77315864543074E+018,1,903,90,90,
1.77315864553069E+018,1,902,90,90,
1.77315864563068E+018,1,902,90,90,
1.7731586457307E+018,1,903,90,90,
1.77315864583069E+018,1,903,90,90,
1.7731586459307E+018,1,903,90,90,
1.77315864603072E+018,1,901,90,90,
1.77315864613069E+018,1,902,90,90,
1.7731586462307E+018,1,902,90,90,
1.77315864633069E+018,1,904,90,90,
1.7731586464307E+018,1,903,90,90,
1.77315864653068E+018,1,902,90,90,
1.77315864663069E+018,1,901,90,90,
1.77315864673071E+018,1,901,90,90,
1.77315864683068E+018,1,902,90,90,
1.77315864693068E+018,1,903,90,90,
1.77315864703068E+018,1,903,90,90,
1.7731586471307E+018,1,903,90,90,
1.77315864723069E+018,1,900,90,90,
1.77315864733068E+018,1,903,90,90,
1.7731586474307E+018,1,901,90,90,
1.77315864753067E+018,1,902,90,90,
1.77315864763067E+018,1,902,90,90,
1.77315864773073E+018,1,903,90,90,
1.7731586478307E+018,1,902,90,90,
1.7731586479307E+018,1,901,90,90,
1.77315864803069E+018,1,903,90,90,
1.77315864813067E+018,1,902,90,90,
1.77315864823068E+018,1,902,90,90,
1.77315864833069E+018,1,903,90,90,
1.77315864843068E+018,1,902,90,90,
1.77315864853068E+018,1,903,90,90,
1.77315864863069E+018,1,902,90,90,
1.77315864873069E+018,1,903,90,90,
1.7731586488307E+018,1,902,90,90,
1.77315864893079E+018,1,903,90,90,
1.77315864903067E+018,1,906,90,90,
1.7731586491307E+018,1,900,90,90,
1.77315864923068E+018,1,901,90,90,
1.77315864933073E+018,1,902,90,90,
1.77315864943068E+018,1,903,90,90,
1.77315864953068E+018,1,903,90,90,
1.77315864963068E+018,1,903,90,90,
1.77315864973067E+018,1,902,90,90,
1.77315864983068E+018,1,903,90,90,
1.77315864993069E+018,1,902,90,90,
1.77315865003069E+018,1,903,90,90,
1.77315865013069E+018,1,900,90,90,
1.77315865023071E+018,1,902,90,90,
1.77315865033069E+018,1,902,90,90,
1.77315865043068E+018,1,902,90,90,
1.7731586505307E+018,1,903,90,90,
1.77315865063068E+018,1,902,90,90,
1.77315865073068E+018,1,899,90,90,
1.77315865083069E+018,1,902,90,90,
1.7731586509307E+018,1,902,90,90,
1.7731586510307E+018,1,903,90,90,
1.77315865113067E+018,1,902,90,90,
1.7731586512307E+018,1,902,90,90,
1.77315865133071E+018,1,903,90,90,
1.77315865143068E+018,1,902,90,90,
1.7731586515307E+018,1,902,90,90,
1.77315865163069E+018,1,902,90,90,
1.77315865173066E+018,1,902,90,90,
1.77315865183068E+018,1,902,90,90,
1.77315865193068E+018,1,902,90,90,
1.77315865203069E+018,1,902,90,90,
1.77315865213069E+018,1,903,90,90,
1.77315865223069E+018,1,902,90,90,
1.77315865233069E+018,1,902,90,90,
1.77315865243068E+018,1,901,90,90,
1.7731586525307E+018,1,901,90,90,
1.77315865263069E+018,1,903,90,90,
1.77315865273066E+018,1,902,90,90,
1.77315865283066E+018,1,902,90,90,
1.77315865293076E+018,1,901,90,90,
1.7731586530307E+018,1,901,90,90,
1.7731586531307E+018,1,904,90,90,
1.77315865323068E+018,1,902,90,90,
1.77315865333071E+018,1,903,90,90,
1.77315865343067E+018,1,902,90,90,
